Energy_eV,Experimental_Abs,Total_Model,Vib_0-0,Vib_0-1,Vib_0-2,Vib_0-3,Vib_0-4
3.208611499249598875e+00,1.887369058660769150e-02,7.030018181535247753e-22,7.400437170597603450e-72,5.285859244948292591e-56,1.849421492071316618e-42,4.230844013715648113e-31,7.030018177304403784e-22
3.202065848934796843e+00,1.991717053333819445e-02,1.532802586546531598e-21,3.296853874280799784e-71,1.969595501796231779e-55,5.763925555657541508e-42,1.102890210803629212e-30,1.532802585443641608e-21
3.195546850840119468e+00,2.085481167309220438e-02,3.308796800561742511e-21,1.449881817633019098e-70,7.250116167881848537e-55,1.775919106819615286e-41,2.844302472157325489e-30,3.308796797717440395e-21
3.189054342514723750e+00,2.125844193737394180e-02,7.072168602324329325e-21,6.295182610477575547e-70,2.636754372403571593e-54,5.410018385576350956e-41,7.257782836658034331e-30,7.072168595066546589e-21
3.182669849336515977e+00,2.253999612955002660e-02,1.482799288255719368e-20,2.649784736348158167e-69,9.323975903646181652e-54,1.607167919328345944e-40,1.811337079002976234e-29,1.482799286444382255e-20
3.176229508196721341e+00,2.298827134593705787e-02,3.108470972615674253e-20,1.122005921180802974e-68,3.311715172695215292e-53,4.788309642539763790e-40,4.526798355795853528e-29,3.108470968088876428e-20
3.169815179324624754e+00,2.400282253708778055e-02,6.454163457372655062e-20,4.692186061037129738e-68,1.162541965961213855e-52,1.410962015066243006e-39,1.119704528819074751e-28,6.454163446175608922e-20
3.163426705444155385e+00,2.510279635245343810e-02,1.327407773253878910e-19,1.938210021230096504e-67,4.033817768432714775e-52,4.112508651249249690e-39,2.741451413350347829e-28,1.327407770512427412e-19
3.157063930544593777e+00,2.604473176240224008e-02,2.704469449677764364e-19,7.908997683015539975e-67,1.383641264465855724e-51,1.185775591771746707e-38,6.644563074567367696e-28,2.704469443033201574e-19
3.150806758988692557e+00,2.688584157541647895e-02,5.411014073112617317e-19,3.132957745357026529e-66,4.620562534196430701e-51,3.338212001491640374e-38,1.576956124410424762e-27,5.411014057343055747e-19
3.144494598569762545e+00,2.773261863080642847e-02,1.082325265212024121e-18,1.248179534848524492e-65,1.549543906775102918e-50,9.423479321099261045e-38,3.747201433041847726e-27,1.082325261464822539e-18
3.138207678485561924e+00,2.830436115200456182e-02,2.145226436103914618e-18,4.914045898647787660e-65,5.138681579708383704e-50,2.632367887659252499e-37,8.817217312928369366e-27,2.145226427286697258e-18
3.131945847645988934e+00,2.972382411759398949e-02,4.213712590927470058e-18,1.912002115876243897e-64,1.685325925680186375e-49,7.277188384899381656e-37,2.054637128373537986e-26,4.213712570381098595e-18
3.125787748928661625e+00,2.999399410982596381e-02,8.134574669153997882e-18,7.229329576080858789e-64,5.386492428711910329e-49,1.966074819470299675e-36,4.692318817831372015e-26,8.134574622230808658e-18
3.119575335228559343e+00,3.213557647659497085e-02,1.569808723174371114e-17,2.748682402914527043e-63,1.728627158133972285e-48,5.325566961393135314e-36,1.072816767401888542e-25,1.569808712446203308e-17
3.113387566536105489e+00,3.169736611635826096e-02,3.002980575615543710e-17,1.033181545015539547e-62,5.488001854674313518e-48,1.428043347149654233e-35,2.429771369753096813e-25,3.002980551317829724e-17
3.107224296489337956e+00,3.326809840979205735e-02,5.694959689730574918e-17,3.839720798214924844e-62,1.723806285773532139e-47,3.791129167936638925e-35,5.451892324177487749e-25,5.694959635211652038e-17
3.101162936101037548e+00,3.393396549409297830e-02,1.062310097349065524e-16,1.388078091313772640e-61,5.281554669589969861e-47,9.844705164565575308e-35,1.199896744516625013e-24,1.062310085350098081e-16
3.095047923322683747e+00,3.453715095475667907e-02,1.980679805189748763e-16,5.045148855352360283e-61,1.624594682695561986e-46,2.562777411636270785e-34,2.643495941705298091e-24,1.980679778754789087e-16
3.088956978800787123e+00,3.547611278991148753e-02,3.662030129640385178e-16,1.813584227738671879e-60,4.945579640949536488e-46,6.606831672222109266e-34,5.771289399922991037e-24,3.662030071927491450e-16
3.082966609482608700e+00,3.643224421604839697e-02,6.663473703338310955e-16,6.346066195270447834e-60,1.469550583936320814e-45,1.667104333354664803e-33,1.236648370102105292e-23,6.663473579673472851e-16
3.076923076923077094e+00,3.758803559023413815e-02,1.211860709409510993e-15,2.232364156098008123e-59,4.383442852603665115e-45,4.216631977643056293e-33,2.652301616777967932e-23,1.211860682886494916e-15
3.070903192253398917e+00,3.837065089534831552e-02,2.186039689769087373e-15,7.768867559489027552e-59,1.294370701758695169e-44,1.056480306549721903e-32,5.638617684019353780e-23,2.186039633382910861e-15
3.064982574091010381e+00,3.907128384951820410e-02,3.883071651206098022e-15,2.633640228545741985e-58,3.733228613661420597e-44,2.592484725778886855e-32,1.177220887089280451e-22,3.883071533484008849e-15
3.059009275705545594e+00,3.997384723573307874e-02,6.893463499708824302e-15,8.974232684422389774e-58,1.080757519266341094e-43,6.376236386709078433e-32,2.459870932360344536e-22,6.893463253721731372e-15
3.053059214575895908e+00,4.071149024820402973e-02,1.214109830557281983e-14,3.026181722987285428e-57,3.098162264663752140e-43,1.553889865886762567e-31,5.096238043004486125e-22,1.214109779594901506e-14
