Energy_eV,Averaged_Absorbance
2.045090957069582327e+00,4.579397032873130935e-01
2.042497117443584198e+00,4.603577311644964087e-01
2.039943408021583693e+00,4.634220412293911240e-01
2.037362601251992089e+00,4.654613664850413834e-01
2.034788316376764161e+00,4.680916838051629725e-01
2.032253835059656399e+00,4.702150210103664407e-01
2.029692436121977916e+00,4.731787882596851236e-01
2.027170625643708313e+00,4.752200894427826006e-01
2.024622016131665703e+00,4.778664439887052029e-01
2.022112781709663576e+00,4.797013101722518713e-01
2.019576866072737342e+00,4.821322708171928428e-01
2.017080113867425695e+00,4.841619826053157327e-01
2.014556797504548857e+00,4.865964631296137988e-01
2.012072434607646176e+00,4.889973401703732736e-01
2.009561623855441237e+00,4.913798535343330554e-01
2.007089558278435160e+00,4.933721491806375425e-01
2.004623567259970596e+00,4.963490483529684472e-01
2.002131301062421098e+00,4.979452496975427245e-01
1.999677471375584492e+00,4.997078967216494472e-01
1.997197480954145066e+00,5.012421011924753644e-01
1.994755722857648461e+00,5.034031783892402023e-01
1.992287917737789238e+00,5.053323980008722627e-01
1.989858142371140781e+00,5.068347720983121807e-01
1.987434286446980503e+00,5.086761780296675806e-01
1.984984552337959451e+00,5.103340541259606677e-01
1.982572547765608650e+00,5.122054840909492368e-01
1.980166397853754923e+00,5.138376571231062506e-01
1.977734536986825775e+00,5.156095001257772203e-01
1.975340108962309271e+00,5.169169627458357619e-01
1.972920080826080724e+00,5.187817265768249753e-01
1.970537289239912893e+00,5.200679211251935108e-01
1.968160246337476105e+00,5.211902134846078116e-01
1.965757767913760556e+00,5.221003896102348607e-01
1.963392235100386518e+00,5.236207110315983515e-01
1.961032388663967563e+00,5.245447998611704188e-01
1.958678208125355313e+00,5.255334228005545949e-01
1.956298808866451022e+00,5.266676132388465881e-01
1.953955972959770415e+00,5.276427999649768719e-01
1.951618741835466020e+00,5.277553742529115244e-01
1.949256452982047971e+00,5.283153681366882237e-01
1.946930444339770805e+00,5.289305498788000603e-01
1.944609980240253444e+00,5.298097863491942894e-01
1.942295040882177970e+00,5.297227535643963536e-01
1.939955255870711159e+00,5.306149182319306323e-01
1.937651379013985320e+00,5.311471179698702416e-01
1.935352967801345248e+00,5.312513757246639656e-01
1.933060002806054722e+00,5.318003036476940393e-01
1.930772464693334189e+00,5.324708926584306168e-01
1.928460342146189666e+00,5.322014093371048027e-01
1.926183670933267145e+00,5.323760372528157925e-01
1.923912368894681313e+00,5.323957815007627214e-01
1.921646417059261092e+00,5.324604064530867875e-01
1.919385796545105771e+00,5.326065413340747012e-01
1.917100848780940447e+00,5.319810670384980122e-01
1.914850904149358213e+00,5.325003348240638923e-01
1.912606234479354628e+00,5.318539466278613403e-01
1.910366821242046376e+00,5.325439070338164882e-01
1.908132645995229693e+00,5.325602134828860690e-01
1.905903690382871440e+00,5.322583707234666006e-01
1.903679936134608619e+00,5.317088068471267359e-01
1.901461365065247655e+00,5.322123702522516542e-01
1.899218869658446884e+00,5.329878306931112864e-01
1.897010678334302369e+00,5.323273191024947559e-01
1.894807615904159581e+00,5.325882949096347740e-01
1.892609664519674162e+00,5.332846415815933883e-01
1.890416806415220696e+00,5.336183130565265165e-01
1.888229023907415760e+00,5.330829947447192074e-01
1.886046299394639858e+00,5.337913280336964439e-01
1.883868615356567577e+00,5.340473716605628196e-01
1.881695954353698186e+00,5.347157164101778992e-01
1.879528299026889337e+00,5.345869053455447606e-01
1.877365632096896331e+00,5.353232178677191921e-01
1.875207936363911365e+00,5.360142623157663211e-01
1.873055194707108573e+00,5.361775219637106016e-01
1.870907390084190824e+00,5.367765106712315548e-01
1.868764505530940312e+00,5.371791691414140590e-01
1.866626524160770906e+00,5.374701332607468851e-01
1.864493429164286065e+00,5.385488306625126897e-01
1.862365203808837189e+00,5.391599746619242239e-01
1.860241831438086857e+00,5.393626004283414987e-01
1.858123295471573622e+00,5.401918199810391563e-01
1.856009579404280796e+00,5.412542668989770434e-01
1.853900666806207465e+00,5.414869235117624191e-01
1.851796541321943712e+00,5.424298279907928677e-01
1.849697186670246740e+00,5.434419957059436479e-01
1.847602586643621425e+00,5.431756419290688642e-01
1.845512725107903096e+00,5.441295456505572670e-01
1.843454991451720870e+00,5.451393876214707390e-01
1.841374496963217089e+00,5.454470374852687931e-01
1.839298693207944702e+00,5.470170113656930289e-01
1.837227564340005781e+00,5.476189662431927285e-01
1.835161094584794705e+00,5.480519702329625931e-01
1.833099268238598478e+00,5.480510554334793172e-01
1.831042069668197270e+00,5.491949136143049470e-01
1.828989483310470954e+00,5.496353840318238815e-01
1.826968411126826952e+00,5.510070569957170594e-01
1.824924942603167066e+00,5.515044937125168634e-01
1.822886040221098458e+00,5.519916377914868555e-01
1.820851688693098325e+00,5.522828133110723181e-01
1.818821872799812223e+00,5.528050740129673013e-01
1.816823196729718370e+00,5.534975381397647665e-01
1.814802347534649529e+00,5.539532994103342212e-01
1.812785988918614644e+00,5.539768502217564672e-01
1.810774105930285316e+00,5.543396681287751093e-01
1.808766683684633003e+00,5.539428833387641804e-01
1.806790033513041127e+00,5.543093627626287656e-01
1.804791430151660769e+00,5.540924833665243909e-01
1.802797243464859811e+00,5.542920810884904848e-01
1.800807458828313168e+00,5.538658724404865730e-01
1.798848156905981099e+00,5.530820628557625573e-01
1.796867075309017681e+00,5.530220188616356003e-01
1.794890352464355354e+00,5.524488511701913795e-01
1.792943898207056019e+00,5.511093772352424480e-01
1.790975792940088906e+00,5.498266233152484528e-01
1.789012003693444042e+00,5.481143341832793725e-01
1.787052516285236647e+00,5.469821539613838324e-01
1.785123015130357205e+00,5.458762219057607945e-01
1.783172032959921882e+00,5.434857635776841889e-01
1.781225310637075454e+00,5.409743545941981813e-01
1.779308365619170607e+00,5.389855548545018360e-01
1.777370065648023578e+00,5.358047448921048339e-01
1.775435984078348461e+00,5.323427500840491877e-01
1.773531473032309735e+00,5.294009423764859390e-01
1.771605732001771738e+00,5.259533788578014679e-01
1.769709425129873948e+00,5.232455296573582659e-01
1.767791970802919499e+00,5.193912668122467879e-01
1.765878667046425488e+00,5.150629387377971824e-01
1.763994594210114508e+00,5.103190440812843676e-01
1.762089497093973334e+00,5.062689959492636671e-01
1.760213496862845117e+00,5.017106870015689557e-01
1.758316553699554641e+00,4.968578764213671395e-01
1.756423694722230033e+00,4.914767164056115800e-01
1.754559732854130916e+00,4.865403629434715826e-01
1.752674949469250398e+00,4.807903556448884785e-01
1.750818931435671466e+00,4.754149382821707959e-01
1.748942172073342682e+00,4.698711615048425938e-01
1.747094047199718281e+00,4.644722066412145800e-01
1.745225260728209271e+00,4.586191441148295134e-01
1.743384978770070148e+00,4.528450097340888658e-01
1.741524114491165953e+00,4.467816142004367719e-01
1.739691625629586014e+00,4.401967954738721378e-01
1.737838633274003897e+00,4.346551977280472268e-01
1.736013888111104908e+00,4.281675902440125192e-01
1.734168717833967310e+00,4.225617859751312766e-01
1.732351667388480010e+00,4.167790342583372332e-01
1.730514269764845459e+00,4.109396277288505650e-01
1.728704865467726393e+00,4.052952463737772848e-01
1.726875191488176586e+00,3.996508955288283205e-01
1.725073385178280905e+00,3.935077619296073470e-01
